13:40:933 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nyzz1njsr7tyxnnv02kvur9wx4\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/jft/massproperties\nusemasspropertiesoverrides=true\n', signature: b'DjWJo6T0kFmmaPXsizrXy68RedQz7OpjBVPQPzUjfPw=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:DjWJo6T0kFmmaPXsizrXy68RedQz7OpjBVPQPzUjfPw=
13:40:933 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_MGN7C_v1_1
13:40:933 | DEBUG | connect:make_nonce:124 | nonce created: 26dJxE4Tmqf7zeclje0WbC2MI
13:40:933 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nznlako7nx24amdqt2azb3rfnf\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/jfp/massproperties\nusemasspropertiesoverrides=true\n', signature: b'KqJIe0rCWnrORkkYi+xmQ7Azdxz35iqB9UGEE3DjsjQ=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:KqJIe0rCWnrORkkYi+xmQ7Azdxz35iqB9UGEE3DjsjQ=
13:40:933 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nnu2dde7mkhmnnporuuer1qatx\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/jfb/massproperties\nusemasspropertiesoverrides=true\n', signature: b'25lOXqxls+xXiYRqrsjzB+D1Q3H5WTzyu0fVe8FwnWQ=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:25lOXqxls+xXiYRqrsjzB+D1Q3H5WTzyu0fVe8FwnWQ=
13:40:934 | DEBUG | connect:request:999 | Request body: None
13:40:934 | DEBUG | connect:request:999 | Request body: None
13:40:934 | DEBUG | connect:request:999 | Request body: None
13:40:934 | DEBUG | connect:request:999 | Request body: None
13:40:934 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\n26djxe4tmqf7zeclje0wbc2mi\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/jff/massproperties\nusemasspropertiesoverrides=true\n', signature: b'FPvdmhUZQI+RzI4UvJCf+yT8vgxvil7FYVnP9m8B9tI=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:FPvdmhUZQI+RzI4UvJCf+yT8vgxvil7FYVnP9m8B9tI=
13:40:934 | DEBUG | connect:request:999 | Request body: None
13:40:934 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_MGN7C_v1_10
13:40:935 | DEBUG | connect:request:999 | Request body: None
13:40:935 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': '22di6njWiEzLEVKLLT8vNq4a7', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:wJSuquqX6/x76rkQ92anK63MMlS2GY8taslTolMBG7A=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:935 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'hEiRqzQjhBIRWvoaxIyZQjMiW', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:0xGZcmPhazM9b+jNGeDpG894MDym6v0J0pRElTTKVRc=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:935 | DEBUG | connect:make_nonce:124 | nonce created: JYEEfmQLCp0h8sBF1sB7CSXwW
13:40:935 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'c5GcqpwPAGzkC1YsTq7vYmNHd', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:gaB6ZT7OX5pyeQBOeAWlfZXDuhSPiCgKY0tdcki1bOc=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:935 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'YzZ1NJSR7TyXNNv02kvuR9wx4', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:DjWJo6T0kFmmaPXsizrXy68RedQz7OpjBVPQPzUjfPw=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:935 | DEBUG | connect:request:999 | Request body: None
13:40:935 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'znlAKo7nx24aMdqT2aZb3rfNF', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:KqJIe0rCWnrORkkYi+xmQ7Azdxz35iqB9UGEE3DjsjQ=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:936 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'nu2dde7MkhmnnpORUUER1QAtX', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:25lOXqxls+xXiYRqrsjzB+D1Q3H5WTzyu0fVe8FwnWQ=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:936 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_MGN7C_v1_2
13:40:936 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/JFD/massproperties?useMassPropertiesOverrides=True
13:40:936 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/JFL/massproperties?useMassPropertiesOverrides=True
13:40:936 | DEBUG | connect:make_nonce:124 | nonce created: cHUCK008Jrksp6cADZwssTEOn
13:40:936 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\njyeefmqlcp0h8sbf1sb7csxww\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/jfd/massproperties\nusemasspropertiesoverrides=true\n', signature: b'QJIButZhu4J/ZVPbDLDS42LGAWk+aV/5rmlNJjdSQZY=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:QJIButZhu4J/ZVPbDLDS42LGAWk+aV/5rmlNJjdSQZY=
